id_carro,placa,ano,id_pessoa
1,AAB0A01,1990,25470
2,AAC0A02,2009,41410
3,AAD0A03,2010,12847
4,AAE0A04,2016,33767
5,AAF0A05,1997,82335
6,AAG0A06,1990,29577
7,AAH0A07,1998,75208
8,AAI0A08,1994,30952
9,AAJ0A09,1996,82286
10,AAK0A10,2010,89436
11,AAL0A11,1994,4657
12,AAM0A12,2017,11741
13,AAN0A13,2008,3338
14,AAO0A14,2018,28122
15,AAP0A15,2017,55850
16,AAQ0A16,1991,79801
17,AAR0A17,1998,51689
18,AAS0A18,2011,55113
19,AAT0A19,2010,6403
20,AAU0A20,2004,11329
21,AAV0A21,2003,87442
22,AAW0A22,1993,85092
23,AAX0A23,1998,47272
24,AAY0A24,2013,38982
25,AAZ0A25,2018,17791
26,ABA0A26,2004,99277
27,ABB0A27,2011,56961
28,ABC0A28,2003,66530
29,ABD0A29,2024,90300
30,ABE0A30,2013,48298
31,ABF0A31,2001,72265
32,ABG0A32,1995,17964
33,ABH0A33,2008,11533
34,ABI0A34,2022,95967
35,ABJ0A35,2022,88835
36,ABK0A36,1990,65842
37,ABL0A37,2010,28125
38,ABM0A38,2022,73544
39,ABN0A39,2001,27014
40,ABO0A40,2001,8669
41,ABP0A41,1999,47100
42,ABQ0A42,2014,94965
43,ABR0A43,2003,61236
44,ABS0A44,1990,10070
45,ABT0A45,1996,29578
46,ABU0A46,2013,51196
47,ABV0A47,2003,9419
48,ABW0A48,2021,89435
49,ABX0A49,2009,71637
50,ABY0A50,2018,85307
51,ABZ0A51,2010,2656
52,ACA0A52,1996,46153
53,ACB0A53,1992,37325
54,ACC0A54,2006,56456
55,ACD0A55,2010,3609
56,ACE0A56,1991,48941
57,ACF0A57,2004,20129
58,ACG0A58,2001,81234
59,ACH0A59,2009,80826
60,ACI0A60,1996,720
61,ACJ0A61,2003,23510
62,ACK0A62,2005,86954
63,ACL0A63,2004,45584
64,ACM0A64,1994,79311
65,ACN0A65,2008,58529
66,ACO0A66,1991,51731
67,ACP0A67,2010,25012
68,ACQ0A68,1993,68690
69,ACR0A69,2003,70736
70,ACS0A70,2017,75666
71,ACT0A71,2018,75268
72,ACU0A72,2012,55894
73,ACV0A73,1998,55496
74,ACW0A74,2015,3416
75,ACX0A75,2012,94496
76,ACY0A76,1998,33289
77,ACZ0A77,2000,83946
78,ADA0A78,1999,35575
79,ADB0A79,1996,91348
80,ADC0A80,2023,15407
81,ADD0A81,2018,53872
82,ADE0A82,2005,19494
83,ADF0A83,2014,2855
84,ADG0A84,2003,33630
85,ADH0A85,2020,89868
86,ADI0A86,1993,64313
87,ADJ0A87,2003,49821
88,ADK0A88,2007,66839
89,ADL0A89,2000,48886
90,ADM0A90,2011,62391
91,ADN0A91,1999,94133
92,ADO0A92,2005,13873
93,ADP0A93,2022,90048
94,ADQ0A94,2021,72038
95,ADR0A95,2018,41311
96,ADS0A96,1990,34781
97,ADT0A97,1995,56857
98,ADU0A98,2002,45907
99,ADV0A99,2002,38896
100,ADW0A00,2015,73557
101,ADX0A01,2015,15112
102,ADY0A02,2018,671
103,ADZ0A03,2021,54944
104,AEA0A04,2018,23130
105,AEB0A05,2003,61120
106,AEC0A06,2010,69178
107,AED0A07,2006,26603
108,AEE0A08,2010,744
109,AEF0A09,1999,66803
110,AEG0A10,1992,41752
111,AEH0A11,2011,11401
112,AEI0A12,1998,90866
113,AEJ0A13,2006,73076
114,AEK0A14,2004,19649
115,AEL0A15,1992,48975
116,AEM0A16,2015,89987
117,AEN0A17,2018,31296
118,AEO0A18,2003,63797
119,AEP0A19,1997,19357
120,AEQ0A20,2004,35679
121,AER0A21,2016,421
122,AES0A22,1997,48851
123,AET0A23,2015,37749
124,AEU0A24,2024,33409
125,AEV0A25,2013,80192
126,AEW0A26,2004,84232
127,AEX0A27,1996,47813
128,AEY0A28,2020,68451
129,AEZ0A29,2009,60538
130,AFA0A30,2017,93246
131,AFB0A31,2005,65744
132,AFC0A32,2003,67807
133,AFD0A33,2004,86060
134,AFE0A34,2016,46235
135,AFF0A35,1990,70849
136,AFG0A36,2020,38252
137,AFH0A37,1994,62518
138,AFI0A38,2004,3255
139,AFJ0A39,2024,43728
140,AFK0A40,2006,48713
141,AFL0A41,2018,32973
142,AFM0A42,2006,79557
143,AFN0A43,2022,83977
144,AFO0A44,1992,57484
145,AFP0A45,2018,73562
146,AFQ0A46,2012,44860
147,AFR0A47,2022,95212
148,AFS0A48,2018,69672
149,AFT0A49,2013,8162
150,AFU0A50,2015,5646
151,AFV0A51,2024,27145
152,AFW0A52,1998,40194
153,AFX0A53,2019,85944
154,AFY0A54,1992,8751
155,AFZ0A55,2017,92691
156,AGA0A56,2018,4462
157,AGB0A57,2024,69292
158,AGC0A58,2013,37703
159,AGD0A59,1997,53736
160,AGE0A60,2023,20110
161,AGF0A61,2014,75834
162,AGG0A62,1990,920
163,AGH0A63,2012,42480
164,AGI0A64,2015,84593
165,AGJ0A65,2000,32891
166,AGK0A66,2023,38159
167,AGL0A67,2001,28231
168,AGM0A68,2001,71675
169,AGN0A69,1996,33371
170,AGO0A70,2021,46389
171,AGP0A71,2004,53547
172,AGQ0A72,2004,86083
173,AGR0A73,2017,38766
174,AGS0A74,2014,18325
175,AGT0A75,1998,82446
176,AGU0A76,1994,81413
177,AGV0A77,2006,58186
178,AGW0A78,1991,73368
179,AGX0A79,2013,94995
180,AGY0A80,1991,66672
181,AGZ0A81,2004,96045
182,AHA0A82,2013,42697
183,AHB0A83,2009,33931
184,AHC0A84,1999,91
185,AHD0A85,1997,71843
186,AHE0A86,2018,95647
187,AHF0A87,2018,75964
188,AHG0A88,1994,23431
189,AHH0A89,2007,81947
190,AHI0A90,1996,11688
191,AHJ0A91,2022,24799
192,AHK0A92,2002,15739
193,AHL0A93,2013,12980
194,AHM0A94,1997,58630
195,AHN0A95,2016,7628
196,AHO0A96,2008,60185
197,AHP0A97,2017,23355
198,AHQ0A98,2002,45468
199,AHR0A99,2000,87773
200,AHS0A00,1990,78548
201,AHT0A01,1995,28008
202,AHU0A02,2006,26419
203,AHV0A03,2005,83750
204,AHW0A04,1993,3399
205,AHX0A05,2011,25482
206,AHY0A06,2007,30580
207,AHZ0A07,2002,22279
208,AIA0A08,2009,33568
209,AIB0A09,2005,47844
210,AIC0A10,2020,22868
211,AID0A11,2012,97927
212,AIE0A12,2001,41485
213,AIF0A13,2009,46680
214,AIG0A14,2020,13786
215,AIH0A15,2014,93843
216,AII0A16,2018,93899
